"turno","fontes","clima","estacao","diaUtil","naMedia"
"noite","ad campaign","claro","primavera","nao","Yes"
"noite","web","claro","primavera","nao","No"
"noite","web","claro","primavera","nao","Yes"
"noite","ad campaign","claro","primavera","nao","Yes"
"noite","twitter","claro","primavera","nao","Yes"
"noite","web","nublado","primavera","nao","Yes"
"manha","ad campaign","claro","primavera","nao","Yes"
"manha","web","claro","primavera","nao","Yes"
"manha","web","claro","primavera","nao","Yes"
"manha","web","claro","primavera","nao","Yes"
"manha","web","claro","primavera","nao","Yes"
"manha","web","claro","primavera","nao","Yes"
"manha","web","claro","primavera","nao","Yes"
"tarde","ad campaign","nublado","primavera","nao","Yes"
"tarde","web","nublado","primavera","nao","Yes"
"tarde","web","nublado","primavera","nao","Yes"
"tarde","ad campaign","nublado","primavera","nao","Yes"
"tarde","facebook page","nublado","primavera","nao","Yes"
"tarde","web","garoando","primavera","nao","Yes"
"tarde","web","garoando","primavera","nao","Yes"
"noite","ad campaign","nublado","primavera","nao","No"
"noite","web","nublado","primavera","nao","Yes"
"noite","ad campaign","nublado","primavera","nao","Yes"
"noite","facebook page","nublado","primavera","nao","No"
"noite","ad campaign","nublado","primavera","nao","Yes"
"noite","twitter","nublado","primavera","nao","Yes"
"noite",NA,"nublado","primavera","nao","Yes"
"noite","web","nublado","primavera","nao","Yes"
"noite","ad campaign","nublado","primavera","nao","Yes"
"manha","web","garoando","primavera","nao","Yes"
"manha","web","nublado","primavera","nao","Yes"
"manha","web","garoando","primavera","nao","Yes"
"manha",NA,"nublado","primavera","nao","Yes"
"manha","direct","nublado","primavera","nao","Yes"
"manha","web","nublado","primavera","nao","Yes"
"manha",NA,"nublado","primavera","nao","Yes"
"tarde","web","nublado","primavera","nao","Yes"
"tarde","blog","garoando","primavera","nao","Yes"
"tarde","blog","garoando","primavera","nao","Yes"
"tarde","direct","garoando","primavera","nao","Yes"
"tarde","web","claro","primavera","nao","Yes"
"tarde","facebook page","nublado","primavera","nao","Yes"
"tarde","ad campaign","claro","primavera","nao","Yes"
"noite","ad campaign","claro","primavera","nao","Yes"
"noite","ad campaign","claro","primavera","nao","Yes"
"noite","ad campaign","claro","primavera","nao","Yes"
"noite","web","claro","primavera","nao","Yes"
"noite","direct","claro","primavera","sim","Yes"
"noite","direct","claro","primavera","sim","Yes"
"noite","blog","claro","primavera","sim","Yes"
"noite","ad campaign","claro","primavera","sim","Yes"
"manha","twitter","claro","primavera","sim","Yes"
"manha","web","claro","primavera","sim","Yes"
"manha","facebook page","claro","primavera","sim","Yes"
"manha","web","claro","primavera","sim","Yes"
"manha","ad campaign","claro","primavera","sim","Yes"
"manha","blog","claro","primavera","sim","Yes"
"manha","web","claro","primavera","sim","Yes"
"tarde","ad campaign","claro","primavera","sim","Yes"
"tarde","web","claro","primavera","sim","Yes"
"tarde","web","claro","primavera","sim","Yes"
"tarde","facebook page","claro","primavera","sim","Yes"
"tarde","web","claro","primavera","sim","Yes"
"tarde","web","claro","primavera","sim","Yes"
"tarde","ad campaign","claro","primavera","sim","Yes"
"noite","web","claro","primavera","sim","No"
"noite","web","claro","primavera","sim","No"
"noite","facebook page","claro","primavera","sim","Yes"
"noite","direct","claro","primavera","sim","Yes"
"noite","direct","claro","primavera","sim","Yes"
"noite",NA,"claro","primavera","sim","Yes"
"noite","ad campaign","claro","primavera","sim","Yes"
"noite","web","claro","primavera","sim","Yes"
"noite","ad campaign","claro","primavera","sim","Yes"
"manha","facebook page","claro","primavera","sim","Yes"
"manha","ad campaign","claro","primavera","sim","Yes"
"manha","web","claro","primavera","sim","No"
"manha","web","claro","primavera","sim","Yes"
"manha","direct","nublado","primavera","sim","Yes"
"manha","web","claro","primavera","sim","Yes"
"manha","direct","claro","primavera","sim","Yes"
"tarde","direct","claro","primavera","sim","Yes"
"tarde","web","claro","primavera","sim","Yes"
"tarde",NA,"claro","primavera","sim","Yes"
"tarde","facebook page","claro","primavera","sim","Yes"
"tarde","ad campaign","claro","primavera","sim","Yes"
"tarde","direct","claro","primavera","sim","Yes"
"tarde","facebook page","claro","primavera","sim","Yes"
"noite","web","claro","primavera","sim","No"
"noite","ad campaign","claro","primavera","sim","No"
"noite","direct","claro","primavera","sim","Yes"
"noite","twitter","claro","primavera","sim","Yes"
"noite","direct","claro","primavera","sim","Yes"
"noite","web","claro","primavera","sim","Yes"
"noite","twitter","claro","primavera","sim","Yes"
"noite","twitter","claro","primavera","sim","Yes"
"noite","ad campaign","claro","primavera","sim","Yes"
"manha","web","claro","primavera","sim","Yes"
"manha","web","claro","primavera","sim","Yes"
"manha","twitter","claro","primavera","sim","No"
"manha","web","claro","primavera","sim","Yes"
"manha","ad campaign","claro","primavera","sim","Yes"
"manha","facebook page","claro","primavera","sim","Yes"
"manha","web","claro","primavera","sim","Yes"
"tarde","web","claro","primavera","sim","Yes"
"tarde","twitter","claro","primavera","sim","Yes"
"tarde","ad campaign","claro","primavera","sim","Yes"
"tarde","twitter","claro","primavera","sim","Yes"
"tarde","web","claro","primavera","sim","Yes"
"tarde","web","claro","primavera","sim","Yes"
"tarde","twitter","claro","primavera","sim","Yes"
"noite","web","claro","primavera","sim","No"
"noite","web","claro","primavera","sim","No"
"noite","twitter","claro","primavera","sim","No"
"noite",NA,"claro","primavera","sim","Yes"
"noite",NA,"claro","primavera","sim","Yes"
"noite","twitter","claro","primavera","sim","Yes"
"noite","ad campaign","claro","primavera","sim","Yes"
"noite","web","nublado","primavera","sim","Yes"
"noite","web","nublado","primavera","sim","Yes"
"manha","ad campaign","nublado","primavera","sim","Yes"
"manha","ad campaign","nublado","primavera","sim","Yes"
"manha","ad campaign","claro","primavera","sim","No"
"manha","twitter","nublado","primavera","sim","Yes"
"manha","facebook page","claro","primavera","sim","Yes"
